City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,haiku-pauwela,20.9219,-156.3051,27.5,65,40,9.77,US,2023-06-22
141,lindsay,36.203,-119.0882,24.91,37,0,7.72,US,2023-06-22
142,susuman,62.7833,148.1667,23.97,36,100,1.18,RU,2023-06-22
143,sonargaon,23.6422,90.6023,29.03,72,37,5.01,BD,2023-06-22
144,ishigaki,24.3448,124.1572,30.07,84,75,5.14,JP,2023-06-22
145,port alfred,-33.5906,26.891,12.32,81,4,1.79,ZA,2023-06-22
146,mahibadhoo,3.7833,72.9667,28.27,77,100,6.88,MV,2023-06-22
147,ngozi,-2.9075,29.8306,15.23,74,87,1.0,BI,2023-06-22
148,carboneras,37.0015,-1.9213,24.62,66,0,3.09,ES,2023-06-22
149,sao paulo de olivenca,-3.3783,-68.8725,22.52,98,100,0.55,BR,2023-06-22
150,petropavlovsk-kamchatsky,53.0452,158.6483,24.33,41,0,2.0,RU,2023-06-22
151,sola,-13.8833,167.55,25.09,75,100,7.39,VU,2023-06-22
152,karatsu,33.4425,129.9697,25.94,71,100,1.29,JP,2023-06-22
153,hamilton,39.1834,-84.5333,20.58,82,100,3.6,US,2023-06-22
154,isafjordur,66.0755,-23.124,9.79,84,100,2.8,IS,2023-06-22
155,wailua homesteads,22.0669,-159.378,29.44,75,75,7.72,US,2023-06-22
156,iskateley,67.6803,53.1512,8.07,71,74,3.41,RU,2023-06-22
157,fisterra,42.9049,-9.2629,18.19,85,1,3.93,ES,2023-06-22
158,udachny,66.4167,112.4,16.92,72,100,4.16,RU,2023-06-22
159,sanya,18.2431,109.505,31.09,79,75,2.0,CN,2023-06-22
160,vanimo,-2.6741,141.3028,27.39,82,51,0.79,PG,2023-06-22
161,lompoc,34.6391,-120.4579,17.66,81,40,4.12,US,2023-06-22
162,yeraliyev,43.2,51.65,22.05,36,59,6.81,KZ,2023-06-22
163,olyokminsk,60.3736,120.4264,26.2,30,1,4.91,RU,2023-06-22
164,gereida,11.2811,25.1414,25.69,63,100,4.99,SD,2023-06-22
165,qarqaraly,49.4058,75.4742,17.45,48,84,3.75,KZ,2023-06-22
166,sept-iles,50.2001,-66.3821,18.0,76,100,1.54,CA,2023-06-22
167,yuzhno-kurilsk,44.0306,145.8556,14.22,79,100,2.12,RU,2023-06-22
168,cuatro cienegas de carranza,26.9833,-102.0833,34.14,30,57,1.94,MX,2023-06-22
169,zhangye,38.9342,100.4517,26.97,26,100,6.89,CN,2023-06-22
170,selkirk,50.1436,-96.8845,22.04,73,61,1.29,CA,2023-06-22
171,coxen hole,16.3244,-86.5366,30.2,74,0,9.26,HN,2023-06-22
172,karoi,-16.8099,29.6925,9.88,71,0,2.48,ZW,2023-06-22
173,mpika,-11.8343,31.4529,10.53,75,0,2.76,ZM,2023-06-22
174,vernon,50.2581,-119.2691,24.74,40,11,1.03,CA,2023-06-22
175,val-d'or,48.1002,-77.7828,23.05,56,0,1.54,CA,2023-06-22
176,al qitena,14.8648,32.3668,30.83,29,97,1.76,SD,2023-06-22
177,punta arenas,-53.15,-70.9167,3.06,93,100,5.14,CL,2023-06-22
178,mana,5.6592,-53.7767,25.51,89,15,3.77,GF,2023-06-22
179,gornopravdinsk,60.05,69.9,9.64,60,64,3.82,RU,2023-06-22
180,uliastay,47.7417,96.8444,20.87,37,77,3.58,MN,2023-06-22
181,carnarvon,-24.8667,113.6333,17.43,57,85,2.99,AU,2023-06-22
182,jambi city,-1.6,103.6167,29.9,68,43,2.1,ID,2023-06-22
183,korsholm,63.1142,21.6822,15.97,82,100,2.57,FI,2023-06-22
184,egilsstadir,65.2653,-14.3948,11.95,66,0,6.69,IS,2023-06-22
185,rawson,-43.3002,-65.1023,14.56,46,100,8.88,AR,2023-06-22
186,mildura,-34.2,142.15,13.37,75,15,10.93,AU,2023-06-22
187,saipan,15.1355,145.701,32.39,100,20,7.2,MP,2023-06-22
188,sinan,34.8262,126.1086,26.06,80,56,2.62,KR,2023-06-22
189,touros,-5.1989,-35.4608,24.81,80,2,5.59,BR,2023-06-22
190,arraial do cabo,-22.9661,-42.0278,18.98,77,0,4.12,BR,2023-06-22
191,okhotsk,59.3833,143.3,16.75,66,18,3.64,RU,2023-06-22
192,port macquarie,-31.4333,152.9167,23.27,40,23,4.46,AU,2023-06-22
193,freetown,8.484,-13.2299,23.84,88,75,2.06,SL,2023-06-22
194,dauphin,51.1494,-100.0502,19.08,68,0,3.09,CA,2023-06-22
195,xiaoweizhai,26.1903,107.5125,20.3,97,100,1.03,CN,2023-06-22
196,zhezqazghan,47.7833,67.7667,19.32,26,0,7.0,KZ,2023-06-22
197,cide,41.8921,33.0044,19.41,64,13,3.05,TR,2023-06-22
198,villanueva,15.3167,-88.0,25.02,88,75,4.63,HN,2023-06-22
199,mumford,5.2618,-0.759,24.73,88,80,4.34,GH,2023-06-22
200,qui nhon,13.7667,109.2333,32.9,56,51,2.56,VN,2023-06-22
201,enewetak,11.3474,162.3373,28.23,78,36,8.52,MH,2023-06-22
202,nar'yan-mar,67.6713,53.087,8.11,71,75,3.45,RU,2023-06-22
203,okondja,-0.6549,13.6753,22.22,85,74,1.1,GA,2023-06-22
204,twentynine palms,34.1356,-116.0542,23.92,23,0,5.76,US,2023-06-22
205,badger,64.8,-147.5333,23.95,55,75,3.6,US,2023-06-22
206,brookings,44.3114,-96.7984,21.0,89,100,8.75,US,2023-06-22
207,turpan,42.9333,89.1667,35.38,19,16,0.86,CN,2023-06-22
208,scarborough,54.2797,-0.4044,14.25,90,74,1.64,GB,2023-06-22
209,whistler,50.1164,-122.9695,19.66,60,58,1.48,CA,2023-06-22
210,coquimbo,-29.9533,-71.3436,14.85,100,0,2.06,CL,2023-06-22
211,midland,31.9974,-102.0779,33.37,47,0,8.23,US,2023-06-22
212,hami,42.8,93.45,31.47,17,79,1.11,CN,2023-06-22
213,woodland park,40.8898,-74.1949,20.3,79,100,0.45,US,2023-06-22
214,milton,34.1322,-84.3007,21.0,95,35,1.46,US,2023-06-22
215,greenwood,34.1668,-82.1165,21.27,46,100,0.0,US,2023-06-22
216,santa cruz,-17.8,-63.1667,23.7,83,72,5.14,BO,2023-06-22
217,aketi,2.7388,23.7833,20.56,100,99,0.08,CD,2023-06-22
218,cannonvale,-20.2833,148.7,23.66,59,23,2.21,AU,2023-06-22
